Spring,Longitude,Latitude,RelictDace,SpringSnail,Notes
BS,-114.5156783,40.96648716,Yes,No,
CS00,-114.5064659,40.97551415,?,?,
CS01,-114.5060669,40.97645262,No,Yes,
CS01B,-114.5065226,40.97602201,No,Yes,
CS02,-114.5068566,40.97642117,Yes,Yes,
CS03,-114.5054077,40.97557491,Yes,Yes,Elk died in it
CS04,-114.5050256,40.97504546,Yes,No,
CS05,-114.5078958,40.97335675,No,Yes,
CS06,-114.5082881,40.97329172,?,?,
CS07,-114.5087074,40.97329016,No,Yes,
CS08,-114.5088041,40.97313426,No,Yes,
CS09,-114.5088644,40.97303224,No,Yes,
CS10,-114.5084707,40.97292818,No,Yes,
CS11,-114.508802,40.97285155,Yes,Yes,
CS12,-114.5083805,40.97279886,No,No,
CS13,-114.5085127,40.97273285,No,Yes,
CS14,-114.5066419,40.97363394,No,Yes,
CS15,-114.5072129,40.97341669,No,No,
CS16,-114.5071074,40.97274234,Yes,Yes,
CS17,-114.5068729,40.97242702,No,Yes,
CS18,-114.5068682,40.97222278,No,Yes,
CS19,-114.5086284,40.97338715,No,Yes,
CS20,-114.5082201,40.97166718,Yes,Yes,
CS21,-114.5090249,40.97149474,No,Yes,
CS22A,-114.5074764,40.97106534,Yes,Yes,
CS22B,-114.5073116,40.97103054,No,Yes,
CS23A,-114.5088505,40.97087453,Yes,Yes,
CS23B,-114.5088968,40.97094712,No,Yes,
CS24,-114.5096668,40.97098677,No,Yes,
CS25,-114.5094414,40.97087575,Yes,Yes,
CS26,-114.5095975,40.97065863,No,Yes,
CS27,-114.5099031,40.97054264,Yes,No,
CS28,-114.509791,40.97014216,No,No,
CS29,-114.5104644,40.96963448,Yes,No,
CS30A,-114.510031,40.96904133,Yes,No,
CS30B,-114.509769,40.96897237,No,No,
CS40,-114.5044311,40.97345108,?,?,
HS01,-114.506978,40.98020093,No,No,
HS02,-114.5077465,40.97725665,No,No,
HS03,-114.5076564,40.97592492,No,Yes,
HS04A,-114.5077506,40.9756545,?,?,
HS04B,-114.5078309,40.97558153,?,?,
HS04C,-114.5078845,40.97553732,No,Yes,
HS05,-114.5080272,40.97529327,No,Yes,
HS06,-114.5081507,40.97506358,No,Yes,
HS07,-114.508512,40.97478364,No,Yes,
HS08,-114.5085503,40.97439562,No,No,
HS09A,-114.5078941,40.97419505,No,Yes,
HS09B,-114.5079831,40.97412247,No,Yes,
HS09C,-114.5081717,40.97410418,No,Yes,
HS10,-114.5084126,40.97381304,No,Yes,
HS11,-114.5086011,40.97369932,No,Yes,
HS12,-114.5088487,40.97357306,No,Yes,
HS13,-114.5093225,40.97325898,No,Yes,
HS14A,-114.5092385,40.97261628,No,Yes,
HS14B,-114.5093236,40.97262708,No,Yes,
HS14C,-114.5093767,40.9726104,No,Yes,
HS14D,-114.509095,40.9726135,?,?,
HS15,-114.509937,40.9722797,No,Yes,
HS16,-114.5103642,40.97177263,No,Yes,
HS17,-114.5105354,40.97154262,No,Yes,
HSX,-114.5090547,40.97339781,No,Yes,
NS01,-114.5044797,40.98569337,No,No,
NS02,-114.5053721,40.98438688,No,No,
NS03,-114.50577,40.9841655,Yes,Yes,
NS04,-114.5058416,40.98393114,No,Yes,
NS05,-114.505745,40.9836516,Yes,No,
SS01,-114.5129531,40.96742739,No,Yes,
SS02,-114.5128119,40.96730984,No,No,
SS03,-114.5124524,40.96711486,Yes,No,
SS04,-114.5127592,40.96699767,No,Yes,
SS05,-114.5123064,40.96687319,Yes,Yes,
SS06,-114.5121958,40.96677574,Yes,Yes,
SS07,-114.5118392,40.9675911,Yes,No,
SS08,-114.5117788,40.96747025,No,No,
SS09,-114.5115495,40.96745722,No,No,
SS10,-114.5110897,40.9675337,Yes,Yes,
SS11,-114.511777,40.96727337,Yes,Yes,
SS12,-114.5119934,40.96721778,No,No,
SS13,-114.5116878,40.96703092,No,No,
SS14,-114.5104897,40.96617108,Yes,Yes,
SS15,-114.5129429,40.96530699,Yes,Yes,
SS16,-114.5133377,40.96464092,Yes,Yes,
SS17,-114.5126944,40.96463984,No,No,
SS17C,-114.5128126,40.96468019,No,No,
SS17W,-114.5128106,40.96475449,Yes,Yes,
SS18,-114.5125498,40.96460558,No,No,
SS19,-114.5123383,40.96439648,Yes,Yes,
SS20A,-114.5125445,40.96423319,Yes,Yes,
SS20B,-114.5126198,40.9641685,Yes,Yes,
SS21,-114.5127624,40.96395396,Yes,No,
