label	Locality
RD_BTOC_001	BTOC
RD_BTOC_002	BTOC
RD_BTOC_003	BTOC
RD_BTOC_004	BTOC
RD_BTOC_006	BTOC
RD_BTOC_007	BTOC
RD_BTOC_008	BTOC
RD_BTOC_009	BTOC
RD_BTOC_010	BTOC
RD_BTOC_011	BTOC
RD_BTOC_012	BTOC
RD_BTOC_013	BTOC
RD_BTOC_014	BTOC
RD_BTOC_015	BTOC
RD_BTOC_016	BTOC
RD_BTOC_017	BTOC
RD_BTOC_018	BTOC
RD_BTOC_019	BTOC
RD_BTOC_020	BTOC
RD_BTOC_021	BTOC
RD_BTOC_022	BTOC
RD_BTOC_023	BTOC
RD_BTOC_024	BTOC
RD_BTOC_025	BTOC
RD_BTQP_001	BTQP
RD_BTQP_003	BTQP
RD_BTQP_004	BTQP
RD_BTQP_005	BTQP
RD_BTQP_006	BTQP
RD_BTQP_007	BTQP
RD_BTQP_008	BTQP
RD_BTQP_009	BTQP
RD_BTQP_010	BTQP
RD_BTQP_011	BTQP
RD_BTQP_012	BTQP
RD_BTQP_013	BTQP
RD_BTQP_014	BTQP
RD_BTQP_015	BTQP
RD_BTQP_016	BTQP
RD_BTQP_017	BTQP
RD_BTQP_018	BTQP
RD_BTQP_019	BTQP
RD_BTQP_020	BTQP
RD_GSJS_001	GSJS_NS05
RD_GSJS_002	GSJS_NS05
RD_GSJS_003	GSJS_NS05
RD_GSJS_004	GSJS_NS05
RD_GSJS_005	GSJS_NS05
RD_GSJS_006	GSJS_NS05
RD_GSJS_007	GSJS_NS05
RD_GSJS_008	GSJS_NS05
RD_GSJS_009	GSJS_NS05
RD_GSJS_010	GSJS_NS05
RD_GSJS_011	GSJS_NS03
RD_GSJS_012	GSJS_NS03
RD_GSJS_013	GSJS_NS03
RD_GSJS_014	GSJS_NS03
RD_GSJS_015	GSJS_NS03
RD_GSJS_016	GSJS_NS03
RD_GSJS_017	GSJS_NS03
RD_GSJS_018	GSJS_NS03
RD_GSJS_019	GSJS_NS03
RD_GSJS_020	GSJS_NS03
RD_GSJS_021	GSJS_CS03
RD_GSJS_022	GSJS_CS03
RD_GSJS_023	GSJS_CS03
RD_GSJS_024	GSJS_CS03
RD_GSJS_025	GSJS_CS03
RD_GSJS_026	GSJS_CS03
RD_GSJS_027	GSJS_CS03
RD_GSJS_028	GSJS_CS03
RD_GSJS_029	GSJS_CS03
RD_GSJS_030	GSJS_CS03
RD_GSJS_031	GSJS_CS02
RD_GSJS_032	GSJS_CS02
RD_GSJS_033	GSJS_CS02
RD_GSJS_034	GSJS_CS02
RD_GSJS_035	GSJS_CS02
RD_GSJS_036	GSJS_CS02
RD_GSJS_037	GSJS_CS02
RD_GSJS_038	GSJS_CS02
RD_GSJS_039	GSJS_CS02
RD_GSJS_040	GSJS_CS02
RD_GSJS_041	GSJS_CS04
RD_GSJS_042	GSJS_CS04
RD_GSJS_043	GSJS_CS04
RD_GSJS_044	GSJS_CS04
RD_GSJS_045	GSJS_CS04
RD_GSJS_046	GSJS_CS04
RD_GSJS_047	GSJS_CS04
RD_GSJS_048	GSJS_CS04
RD_GSJS_049	GSJS_CS11
RD_GSJS_050	GSJS_CS11
RD_GSJS_051	GSJS_CS11
RD_GSJS_052	GSJS_CS11
RD_GSJS_053	GSJS_CS11
RD_GSJS_054	GSJS_CS11
RD_GSJS_055	GSJS_CS11
RD_GSJS_056	GSJS_CS11
RD_GSJS_057	GSJS_CS11
RD_GSJS_058	GSJS_CS11
RD_GSJS_059	GSJS_CS16
RD_GSJS_060	GSJS_CS16
RD_GSJS_061	GSJS_CS16
RD_GSJS_062	GSJS_CS16
RD_GSJS_063	GSJS_CS16
RD_GSJS_064	GSJS_CS16
