Path,Bam,Label,Locality,Individual,Collection Locality,Geographic Region
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_001_R1.sort.proper.rmdup.bam,RD_BTOC_001,RD_BTOC_001,BTOC,1,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_002_R1.sort.proper.rmdup.bam,RD_BTOC_002,RD_BTOC_002,BTOC,2,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_003_R1.sort.proper.rmdup.bam,RD_BTOC_003,RD_BTOC_003,BTOC,3,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_004_R1.sort.proper.rmdup.bam,RD_BTOC_004,RD_BTOC_004,BTOC,4,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_006_R1.sort.proper.rmdup.bam,RD_BTOC_006,RD_BTOC_006,BTOC,5,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_007_R1.sort.proper.rmdup.bam,RD_BTOC_007,RD_BTOC_007,BTOC,6,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_008_R1.sort.proper.rmdup.bam,RD_BTOC_008,RD_BTOC_008,BTOC,7,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_009_R1.sort.proper.rmdup.bam,RD_BTOC_009,RD_BTOC_009,BTOC,8,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_010_R1.sort.proper.rmdup.bam,RD_BTOC_010,RD_BTOC_010,BTOC,9,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_011_R1.sort.proper.rmdup.bam,RD_BTOC_011,RD_BTOC_011,BTOC,10,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_012_R1.sort.proper.rmdup.bam,RD_BTOC_012,RD_BTOC_012,BTOC,11,BTOC,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTOC_013_R1.sort.proper.rmdup.bam,RD_BTOC_013,RD_BTOC_013,BTOC,12,BTOC,Western Valleys
